X-ray (ID 01) / Crystal angle ?_c	X-ray (ID 01) / Impulse Imp
32.5	11
32.6	11
32.7	10
32.8	9
32.9	11
33.0	9
33.1	10
33.2	8
33.3	9
33.4	9
33.5	11
33.6	11
33.7	9
33.8	10
33.9	7
34.0	7
34.1	7
34.2	7
34.3	7
34.4	7
34.5	8
34.6	8
34.7	8
34.8	9
34.9	8
35.0	7
35.1	8
35.2	9
35.3	8
35.4	6
35.5	9
35.6	7
35.7	6
35.8	9
35.9	5
36.0	6
36.1	8
36.2	7
36.3	4
36.4	7
36.5	8
36.6	9
36.7	6
36.8	10
36.9	5
37.0	7
37.1	8
37.2	7
37.3	7
37.4	6
37.5	7
37.6	6
37.7	8
37.8	7
37.9	5
38.0	6
38.1	6
38.2	7
38.3	6
38.4	7
38.5	5
38.6	8
38.7	8
38.8	4
38.9	6
39.0	6
39.1	6
39.2	4
39.3	4
39.4	5
39.5	6
39.6	6
39.7	6
39.8	5
39.9	6
40.0	4
40.1	6
40.2	5
40.3	6
40.4	6
40.5	6
40.6	5
40.7	4
40.8	5
40.9	5
41.0	4
41.1	4
41.2	6
41.3	7
41.4	5
41.5	6
41.6	6
41.7	4
41.8	6
41.9	6
42.0	4
42.1	3
42.2	6
42.3	8
42.4	5
42.5	4
42.6	4
42.7	5
42.8	5
42.9	5
43.0	5
43.1	5
43.2	4
43.3	5
43.4	6
43.5	6
43.6	4
43.7	6
43.8	4
43.9	6
44.0	5
44.1	4
44.2	7
44.3	6
44.4	5
44.5	4
44.6	5
44.7	4
44.8	6
44.9	7
45.0	6
45.1	5
45.2	7
45.3	17
45.4	47
45.5	42
45.6	11
45.7	9
45.8	6
45.9	6
46.0	4
46.1	6
46.2	5
46.3	7
46.4	4
46.5	6
46.6	6
46.7	7
46.8	7
46.9	6
47.0	5
47.1	6
47.2	8
47.3	6
47.4	4
47.5	6
47.6	6
47.7	4
47.8	7
47.9	6
48.0	5
48.1	4
48.2	4
48.3	4
48.4	5
48.5	4
48.6	5
48.7	5
48.8	6
48.9	3
49.0	6
49.1	4
49.2	3
49.3	4
49.4	4
49.5	4
49.6	5
49.7	5
49.8	4
49.9	4
50.0	6
50.1	5
50.2	6
50.3	5
50.4	4
50.5	5
50.6	7
50.7	5
50.8	6
50.9	8
51.0	7
51.1	6
51.2	6
51.3	5
51.4	7
51.5	8
51.6	5
51.7	6
51.8	8
51.9	6
52.0	8
52.1	7
52.2	12
52.3	11
52.4	17
52.5	33
52.6	145
52.7	206
52.8	110
52.9	106
53.0	39
53.1	11
53.2	11
53.3	9
53.4	8
53.5	9
53.6	8
53.7	10
53.8	7
53.9	9
54.0	7
54.1	7
54.2	6
54.3	4
54.4	6
54.5	5
54.6	7
54.7	7
54.8	8
54.9	7
55.0	6
55.1	6
55.2	5
55.3	5
55.4	7
55.5	4
55.6	6
55.7	5
55.8	5
55.9	7
56.0	6
56.1	4
56.2	6
56.3	5
56.4	6
56.5	5
56.6	5
56.7	7
56.8	6
56.9	8
57.0	4
57.1	7
57.2	6
57.3	5
57.4	5
57.5	6
57.6	4
57.7	5
57.8	4
57.9	4
58.0	5
58.1	5
58.2	6
58.3	7
58.4	5
58.5	5
58.6	4
58.7	6
58.8	4
58.9	7
59.0	4
59.1	5
59.2	6
59.3	5
59.4	8
59.5	5
59.6	5
59.7	7
59.8	5
59.9	5
60.0	4
