X-ray (ID 01) / Crystal angle ?_c	X-ray (ID 01) / Impulse Imp
32.4	18
32.5	19
32.6	14
32.7	10
32.8	11
32.9	13
33.0	12
33.1	16
33.2	8
33.3	15
33.4	14
33.5	9
33.6	16
33.7	10
33.8	9
33.9	8
34.0	11
34.1	13
34.2	14
34.3	10
34.4	10
34.5	14
34.6	12
34.7	15
34.8	16
34.9	14
35.0	14
35.1	22
35.2	18
35.3	35
35.4	87
35.5	394
35.6	569
35.7	261
35.8	38
35.9	18
36.0	14
36.1	15
36.2	13
36.3	15
36.4	9
36.5	10
36.6	12
36.7	11
36.8	10
36.9	10
37.0	8
37.1	8
37.2	12
37.3	9
37.4	9
37.5	7
37.6	11
37.7	8
37.8	10
37.9	9
38.0	9
38.1	6
38.2	7
38.3	7
38.4	6
38.5	6
38.6	6
38.7	9
38.8	5
38.9	5
39.0	10
39.1	9
39.2	8
39.3	10
39.4	9
39.5	7
39.6	7
39.7	5
39.8	5
39.9	5
40.0	8
40.1	8
40.2	4
40.3	6
40.4	7
40.5	7
40.6	6
40.7	5
40.8	5
40.9	6
41.0	6
41.1	5
41.2	6
41.3	11
41.4	5
41.5	8
41.6	7
41.7	6
41.8	9
41.9	6
42.0	8
42.1	8
42.2	5
42.3	7
42.4	8
42.5	7
42.6	3
42.7	5
42.8	6
42.9	5
43.0	8
43.1	7
43.2	7
43.3	10
43.4	4
43.5	6
43.6	3
43.7	1
43.8	4
43.9	7
44.0	7
44.1	6
44.2	7
44.3	6
44.4	6
44.5	8
44.6	7
44.7	2
44.8	8
44.9	6
45.0	7
45.1	8
45.2	6
45.3	3
45.4	2
45.5	5
45.6	5
45.7	7
45.8	5
45.9	6
46.0	3
46.1	4
46.2	7
46.3	4
46.4	4
46.5	3
46.6	8
46.7	5
46.8	6
46.9	4
47.0	5
47.1	3
47.2	7
47.3	5
47.4	5
47.5	3
47.6	6
47.7	5
47.8	6
47.9	6
48.0	9
48.1	6
48.2	5
48.3	5
48.4	8
48.5	3
48.6	5
48.7	6
48.8	5
48.9	6
49.0	5
49.1	5
49.2	6
49.3	5
49.4	6
49.5	10
49.6	3
49.7	4
49.8	5
49.9	4
50.0	8
50.1	22
50.2	37
50.3	10
50.4	6
50.5	8
50.6	3
50.7	5
50.8	7
50.9	5
51.0	9
51.1	4
51.2	3
51.3	6
51.4	6
51.5	3
51.6	8
51.7	4
51.8	5
51.9	4
52.0	5
52.1	3
52.2	7
52.3	5
52.4	4
52.5	5
52.6	7
52.7	4
52.8	4
52.9	4
53.0	6
53.1	7
53.2	5
53.3	3
53.4	6
53.5	5
53.6	5
53.7	6
53.8	7
53.9	5
54.0	3
54.1	3
54.2	9
54.3	4
54.4	4
54.5	9
54.6	4
54.7	4
54.8	7
54.9	7
55.0	7
55.1	9
55.2	7
55.3	4
55.4	6
55.5	5
55.6	6
55.7	6
55.8	5
55.9	7
56.0	8
56.1	5
56.2	8
56.3	7
56.4	5
56.5	6
56.6	6
56.7	7
56.8	7
56.9	11
57.0	9
57.1	10
57.2	19
57.3	44
57.4	82
57.5	61
57.6	51
57.7	28
57.8	9
57.9	8
58.0	7
58.1	7
58.2	11
58.3	7
58.4	6
58.5	9
58.6	2
58.7	4
58.8	8
58.9	8
59.0	7
59.1	6
59.2	5
59.3	7
59.4	6
59.5	4
59.6	6
59.7	7
59.8	8
59.9	5
60.0	6
